index,x,y,area
XRX,1,15236,15236
DIS,2,15236,30472
GE,3,15236,45708
GD,4,15236,60944
MO,5,15236,76180
KO,6,15236,91416
XOM,7,15236,106652
PG,8,15236,121888
CNP,9,15236,137124
MRO,10,15236,152360
MMM,11,15236,167596
CAT,12,15236,182832
BA,13,15236,198068
DTE,14,15236,213304
ED,15,15236,228540
IBM,16,15236,243776
HON,17,15236,259012
CVX,18,15236,274248
AEP,19,15236,289484
FL,20,15236,304720
KR,21,15236,319956
GT,22,15236,335192
MRK,23,15236,350428
JNJ,24,15236,365664
IP,25,15236,380900
HPQ,26,15236,396136
MSI,27,15236,411372
BP,28,15236,426608
AA,29,15236,441844
RTX,30,15173,455190
MCD,31,14101,437131
DE,32,12637,404384
F,33,12637,417021
ETN,34,12637,429658
HAL,35,12637,442295
AXP,36,12637,454932
WFC,37,12637,467569
UIS,38,12637,480206
DD,39,12637,492843
PBI,40,12637,505480
BMY,41,12637,518117
LLY,42,12637,530754
PFE,43,12637,543391
PCG,44,12637,556028
PEP,45,12637,568665
TXN,46,12637,581302
ETR,47,12637,593939
SJW,48,12637,606576
EMR,49,12637,619213
WMT,50,12577,628850
WLY,51,12577,641427
HUBB,52,12505,650260
AIG,53,12491,662023
SCL,54,12457,672678
EVRG,55,12457,685135
TER,56,12457,697592
OLN,57,12457,710049
CNA,58,12457,722506
VMI,59,12457,734963
CMS,60,12457,747420
AP,61,12457,759877
EGP,62,12457,772334
NWN,63,12457,784791
OGE,64,12457,797248
MDU,65,12457,809705
MKC,66,12457,822162
HE,67,12457,834619
PKI,68,12457,847076
CLF,69,12457,859533
BAC,70,12457,871990
ES,71,12457,884447
TGT,72,12457,896904
BDX,73,12457,909361
PKOH,74,12457,921818
PNM,75,12457,934275
CMI,76,12457,946732
CLX,77,12457,959189
KLIC,78,12457,971646
MSB,79,12457,984103
AWR,80,12457,996560
SR,81,12457,1009017
PW,82,12457,1021474
PNW,83,12457,1033931
GWW,84,12457,1046388
SNA,85,12457,1058845
FUL,86,12457,1071302
OTTR,87,12457,1083759
STC,88,12457,1096216
CVS,89,12457,1108673
SIF,90,12457,1121130
TKR,91,12457,1133587
GCO,92,12457,1146044
ALX,93,12457,1158501
CWT,94,12457,1170958
UVV,95,12457,1183415
ECL,96,12457,1195872
LZB,97,12457,1208329
MMC,98,12457,1220786
NI,99,12457,1233243
VMC,100,12457,1245700
BRN,101,12457,1258157
COKE,102,12457,1270614
BMI,103,12457,1283071
SPGI,104,12457,1295528
BDL,105,12457,1307985
AVA,106,12457,1320442
XEL,107,12457,1332899
CRS,108,12457,1345356
GATX,109,12457,1357813
BALL,110,12457,1370270
IDA,111,12457,1382727
AVY,112,12457,1395184
SXI,113,12457,1407641
TXT,114,12457,1420098
VLGEA,115,12457,1432555
UGI,116,12457,1445012
DIOD,117,12457,1457469
NBR,118,12457,1469926
HRB,119,12457,1482383
GHC,120,12457,1494840
SCX,121,12457,1507297
SGC,122,12457,1519754
WHR,123,12457,1532211
WGO,124,12457,1544668
KMT,125,12457,1557125
AEM,126,12457,1569582
CPB,127,12457,1582039
MSEX,128,12457,1594496
NEE,129,12457,1606953
SWX,130,12457,1619410
IHT,131,12457,1631867
MTZ,132,12457,1644324
LNT,133,12457,1656781
SONY,134,12457,1669238
K,135,12457,1681695
CSL,136,12457,1694152
SEB,137,12456,1706472
BKH,138,12456,1718928
TNC,139,12456,1731384
MSA,140,12456,1743840
CVR,141,12455,1756155
ITW,142,12443,1766906
COHR,143,12420,1776060
CL,144,12408,1786752
MDT,145,12408,1799160
EXC,146,12408,1811568
NFG,147,12407,1823829
DCO,148,12407,1836236
ALE,149,12407,1848643
GFF,150,12407,1861050
EIX,151,12407,1873457
AVT,152,12407,1885864
BRT,153,12407,1898271
RGR,154,12407,1910678
SKY,155,12407,1923085
AXR,156,12407,1935492
BK,157,12407,1947899
ALCO,158,12407,1960306
PHI,159,12407,1972713
MATX,160,12407,1985120
TPC,161,12407,1997527
GTY,162,12407,2009934
PNR,163,12407,2022341
USB,164,12407,2034748
PEI,165,12407,2047155
WDFC,166,12407,2059562
APOG,167,12407,2071969
WY,168,12407,2084376
SVT,169,12407,2096783
FRT,170,12407,2109190
TRN,171,12407,2121597
CHE,172,12407,2134004
NYT,173,12407,2146411
SYY,174,12404,2158296
WRB,175,12287,2150225
IFF,176,11996,2111296
AE,177,11960,2116920
TAP,178,11874,2113572
OII,179,11775,2107725
NWLI,180,11764,2117520
TRV,181,11764,2129284
PNC,182,11764,2141048
MAT,183,11617,2125911
HELE,184,11603,2134952
C,185,11480,2123800
LMT,186,11480,2135280
NC,187,11364,2125068
TRNS,188,11247,2114436
ASA,189,11228,2122092
FDX,190,11159,2120210
TSRI,191,11149,2129459
WDC,192,11018,2115456
DHR,193,10977,2118561
SPB,194,10976,2129344
APA,195,10883,2122185
MTR,196,10777,2112292
LUV,197,10723,2112431
UNP,198,10723,2123154
PEG,199,10723,2133877
Y,200,10723,2144600
LXU,201,10723,2155323
R,202,10723,2166046
BIO,203,10684,2168852
MDC,204,10675,2177700
AFL,205,10671,2187555
NWL,206,10671,2198226
HES,207,10671,2208897
HL,208,10671,2219568
WST,209,10671,2230239
PPL,210,10671,2240910
GRC,211,10671,2251581
WMK,212,10671,2262252
COHU,213,10671,2272923
AZZ,214,10671,2283594
SYK,215,10671,2294265
SMP,216,10671,2304936
CTO,217,10671,2315607
ADM,218,10671,2326278
AGYS,219,10671,2336949
FMC,220,10671,2347620
ADP,221,10671,2358291
USAU,222,10671,2368962
LEN,223,10671,2379633
GHM,224,10671,2390304
MCS,225,10671,2400975
KMB,226,10671,2411646
HVT,227,10671,2422317
JHS,228,10671,2432988
PEO,229,10671,2443659
VHI,230,10671,2454330
HAS,231,10671,2465001
FLS,232,10671,2475672
CBSH,233,10671,2486343
GPC,234,10671,2497014
TGNA,235,10671,2507685
VNO,236,10671,2518356
CHD,237,10671,2529027
KEQU,238,10671,2539698
TEN,239,10671,2550369
IPG,240,10671,2561040
LEG,241,10671,2571711
UFI,242,10671,2582382
RRX,243,10671,2593053
MGEE,244,10671,2603724
DDS,245,10671,2614395
CR,246,10671,2625066
ARW,247,10671,2635737
SWK,248,10671,2646408
JWN,249,10671,2657079
CAL,250,10671,2667750
TRC,251,10671,2678421
MTRN,252,10671,2689092
PPG,253,10671,2699763
JEF,254,10671,2710434
TDW,255,10671,2721105
GIS,256,10671,2731776
RAND,257,10671,2742447
JOB,258,10671,2753118
AMAT,259,10671,2763789
NL,260,10671,2774460
TTC,261,10671,2785131
RPM,262,10671,2795802
SEE,263,10671,2806473
EFX,264,10671,2817144
GFI,265,10671,2827815
SUP,266,10671,2838486
ACU,267,10671,2849157
EML,268,10671,2859828
LEE,269,10671,2870499
NTRS,270,10671,2881170
KBAL,271,10671,2891841
EBF,272,10671,2902512
CUZ,273,10671,2913183
J,274,10671,2923854
LOW,275,10671,2934525
HST,276,10671,2945196
MTB,277,10671,2955867
CMTL,278,10671,2966538
TMO,279,10671,2977209
USLM,280,10671,2987880
HSY,281,10671,2998551
CCK,282,10671,3009222
WRE,283,10671,3019893
ASH,284,10671,3030564
WOR,285,10671,3041235
CSWC,286,10671,3051906
GAM,287,10671,3062577
SCI,288,10671,3073248
MAS,289,10671,3083919
L,290,10671,3094590
WEC,291,10671,3105261
PGR,292,10671,3115932
TSN,293,10671,3126603
ORI,294,10671,3137274
SMTC,295,10671,3147945
ALK,296,10671,3158616
HSC,297,10671,3169287
KAMN,298,10671,3179958
TYL,299,10671,3190629
ESCA,300,10671,3201300
GPS,301,10671,3211971
TY,302,10671,3222642
D,303,10671,3233313
RF,304,10671,3243984
UG,305,10671,3254655
ABM,306,10671,3265326
TPL,307,10671,3275997
NRT,308,10671,3286668
IMO,309,10671,3297339
AIR,310,10671,3308010
AMD,311,10671,3318681
ROG,312,10671,3329352
GLT,313,10671,3340023
HXL,314,10671,3350694
PCAR,315,10671,3361365
GGG,316,10671,3372036
STEW,317,10671,3382707
FELE,318,10671,3393378
CAJ,319,10671,3404049
BCV,320,10671,3414720
LUMN,321,10671,3425391
TT,322,10671,3436062
PH,323,10671,3446733
FRD,324,10671,3457404
WBA,325,10671,3468075
FLXS,326,10671,3478746
PHG,327,10671,3489417
TWIN,328,10671,3500088
INTC,329,10671,3510759
NEM,330,10671,3521430
NX,331,10671,3532101
PHM,332,10671,3542772
VFC,333,10671,3553443
ESP,334,10671,3564114
FLO,335,10671,3574785
VSH,336,10671,3585456
AIT,337,10671,3596127
OMC,338,10671,3606798
BF-B,339,10671,3617469
TFX,340,10671,3628140
WTRG,341,10671,3638811
DINO,342,10671,3649482
JPM,343,10671,3660153
CW,344,10671,3670824
UBP,345,10671,3681495
RAD,346,10671,3692166
WEYS,347,10671,3702837
WWW,348,10671,3713508
DUK,349,10671,3724179
SJI,350,10671,3734850
SHW,351,10671,3745521
AAME,352,10671,3756192
WABC,353,10671,3766863
HRL,354,10671,3777534
SWN,355,10671,3788205
MUR,356,10671,3798876
PVH,357,10671,3809547
SFE,358,10671,3820218
SON,359,10671,3830889
MCI,360,10671,3841560
CTS,361,10671,3852231
LNC,362,10671,3862902
BHP,363,10671,3873573
RHI,364,10671,3884244
ZION,365,10671,3894915
EQT,366,10671,3905586
KWR,367,10671,3916257
SOR,368,10671,3926928
CDE,369,10671,3937599
NUE,370,10671,3948270
LPX,371,10671,3958941
USEG,372,10671,3969612
B,373,10671,3980283
JHI,374,10671,3990954
INSI,375,10671,4001625
ADX,376,10671,4012296
BOH,377,10671,4022967
HBAN,378,10671,4033638
BRID,379,10671,4044309
LGL,380,10671,4054980
