,last_update
MRCC,2022-07-08
BGCP,2022-07-08
IPAR,2022-07-08
LJAQU,2022-07-08
SRTS,2022-07-08
PXI,2022-07-08
EWBC,2022-07-08
BALL,2022-07-08
PYR,2022-07-08
CSBR,2022-07-08
BGS,2022-07-08
FLWS,2022-07-08
SPOK,2022-07-08
HUM,2022-07-08
PETV,2022-07-08
FOX,2022-07-08
EYEN,2022-07-08
HLBZ,2022-07-08
STRL,2022-07-08
AIRC,2022-07-08
REAX,2022-07-08
INVA,2022-07-08
BSJQ,2022-07-08
NOTV,2022-07-08
HBANP,2022-07-08
IR,2022-07-08
SMID,2022-07-08
CPSI,2022-07-08
IBKR,2022-07-08
GPP,2022-07-01
CRSR,2022-07-01
HIG,2022-07-01
EBIX,2022-07-01
PLAY,2022-07-01
MPC,2022-07-01
NOACU,2022-07-01
NTES,2022-07-01
KIM,2022-07-01
GLSPU,2022-07-01
TMO,2022-07-01
SCOAU,2022-07-01
USEG,2022-07-01
LAND,2022-07-01
CMPO,2022-07-01
HBCP,2022-07-01
AGTC,2022-07-01
VBTX,2022-07-01
FPA,2022-07-01
VERO,2022-07-01
SIGI,2022-07-01
CTRN,2022-07-01
SIVBP,2022-07-01
GNSS,2022-07-01
GSIT,2022-07-01
SRE,2022-07-01
VERB,2022-07-01
TNGX,2022-07-01
PALI,2022-07-01
CELC,2022-07-01
ESSCU,2022-07-01
ALNY,2022-07-01
BANR,2022-07-01
VTIQ,2022-07-01
PRCH,2022-07-01
CSML,2022-07-01
TH,2022-07-01
SPPI,2022-07-01
CHD,2022-07-01
AMAOU,2022-07-01
UCYB,2022-07-01
ARBE,2022-07-01
KNDI,2022-07-01
FRAF,2022-07-01
RPTX,2022-07-01
PIRS,2022-07-01
BRO,2022-07-01
GRIN,2022-07-01
UTMD,2022-07-01
EMIF,2022-07-01
TERN,2022-07-01
YORW,2022-07-01
FSEA,2022-07-01
POWL,2022-07-01
LUNG,2022-07-01
IMXI,2022-07-01
ALLT,2022-07-01
MARPS,2022-07-01
MULN,2022-07-01
NMRD,2022-07-01
JBLU,2022-07-01
CLRM,2022-07-01
SURG,2022-07-01
ROST,2022-07-01
POWI,2022-07-01
RNWWW,2022-07-01
VLYPO,2022-07-01
LSAK,2022-07-01
CDEV,2022-07-01
LILAK,2022-07-01
MOFG,2022-07-01
TAOP,2022-07-01
VOD,2022-07-01
CNTG,2022-07-01
ORGS,2022-07-01
DTIL,2022-07-01
WFC,2022-07-01
BNGO,2022-07-01
CDTX,2022-07-01
LEGAU,2022-07-01
LNW,2022-07-01
ADRE,2022-07-01
PTVE,2022-07-01
CDNS,2022-07-01
DSAC,2022-07-01
BSY,2022-07-01
CHW,2022-07-01
AKICU,2022-07-01
DPZ,2022-07-01
LYFT,2022-07-01
CHSCO,2022-07-01
AFL,2022-07-01
CZR,2022-07-01
VKTX,2022-07-01
WSFS,2022-07-01
AMED,2022-07-01
DLTH,2022-07-01
SMFR,2022-07-01
AIH,2022-07-01
INCR,2022-07-01
BOTZ,2022-07-01
PG,2022-07-01
VONG,2022-07-01
EFSC,2022-07-01
TIPT,2022-07-01
CWBC,2022-07-01
MU,2022-07-01
WILC,2022-07-01
MARA,2022-07-01
ATSG,2022-07-01
HURN,2022-07-01
EXTR,2022-07-01
PWR,2022-07-01
FNCB,2022-07-01
PFMT,2022-07-01
MORF,2022-07-01
FMBH,2022-07-01
VOR,2022-07-01
IART,2022-07-01
PINC,2022-07-01
FUND,2022-07-01
GTPAU,2022-07-01
SEED,2022-07-01
PRLD,2022-07-01
ASO,2022-07-01
SBUX,2022-07-01
FIBK,2022-07-01
RNWK,2022-07-01
TDIV,2022-07-01
CHSCP,2022-07-01
PETZ,2022-07-01
VERX,2022-07-01
LMAO,2022-07-01
KERN,2022-07-01
SND,2022-07-01
AZPN,2022-07-01
HSY,2022-07-01
AROW,2022-07-01
BIGC,2022-07-01
BBCP,2022-07-01
EAR,2022-07-01
MREO,2022-07-01
MESO,2022-07-01
SPTKU,2022-07-01
ALGS,2022-07-01
SDAC,2022-07-01
CERE,2022-07-01
SNSR,2022-07-01
LMPX,2022-07-01
LCAHU,2022-07-01
NEPT,2022-07-01
CI,2022-07-01
BELFA,2022-07-01
YY,2022-07-01
FTDS,2022-07-01
BSJP,2022-07-01
CRBP,2022-07-01
TECH,2022-07-01
EYE,2022-07-01
FROG,2022-07-01
PANA,2022-07-01
PFIS,2022-07-01
PDLB,2022-07-01
NCMI,2022-07-01
DTOCU,2022-07-01
XBIO,2022-07-01
RDNT,2022-07-01
VVOS,2022-07-01
ANIP,2022-07-01
CENX,2022-07-01
NBTB,2022-07-01
CONN,2022-07-01
SONM,2022-07-01
ARKO,2022-07-01
KINZU,2022-07-01
QUIK,2022-07-01
LMACU,2022-07-01
EUFN,2022-07-01
KNTE,2022-07-01
PEAR,2022-07-01
TESS,2022-07-01
DGHI,2022-07-01
PTRA,2022-07-01
NWFL,2022-07-01
VIEW,2022-07-01
RCAT,2022-07-01
KVSA,2022-07-01
PENN,2022-07-01
MSPR,2022-07-01
FTAIN,2022-07-01
NBN,2022-07-01
TWLVU,2022-07-01
KHC,2022-07-01
ARQT,2022-07-01
CLRMU,2022-07-01
DWEQ,2022-07-01
CLDX,2022-07-01
OCUL,2022-07-01
AUUD,2022-07-01
VMW,2022-07-01
TAYD,2022-07-01
RGEN,2022-07-01
RHI,2022-07-01
ENVX,2022-07-01
DCOM,2022-07-01
PETS,2022-07-01
NRIX,2022-07-01
NWL,2022-07-01
OCGN,2022-07-01
NEO,2022-07-01
BSMO,2022-07-01
CNCR,2022-07-01
IPG,2022-07-01
ICHR,2022-07-01
FCAP,2022-07-01
SO,2022-07-01
TENX,2022-07-01
HDSN,2022-07-01
BFI,2022-07-01
RSG,2022-07-01
SLY,2022-07-01
WHLR,2022-07-01
EGBN,2022-07-01
AVRO,2022-07-01
PRIM,2022-07-01
LILMW,2022-07-01
ALJJ,2022-07-01
FGFPP,2022-07-01
DTE,2022-07-01
CMPX,2022-07-01
APM,2022-07-01
SCPL,2022-07-01
RGLS,2022-07-01
PLBY,2022-07-01
IQM,2022-07-01
HBNC,2022-07-01
RUBY,2022-07-01
ACAHU,2022-07-01
ARCT,2022-07-01
SPWR,2022-07-01
GTIM,2022-07-01
SOLO,2022-07-01
JOFFU,2022-07-01
GRID,2022-07-01
ALRM,2022-07-01
STZ,2022-07-01
RNSC,2022-07-01
BTCS,2022-07-01
BILI,2022-07-01
SNPS,2022-07-01
TOMZ,2022-07-01
VUZI,2022-07-01
EJFAU,2022-06-22
FGM,2022-07-01
BSGM,2022-07-01
BCBP,2022-07-01
LNTH,2022-07-01
JNPR,2022-07-01
AUTL,2022-07-01
AGNCN,2022-07-01
MESA,2022-07-01
HMPT,2022-07-01
CIL,2022-07-01
NTRS,2022-07-01
ACHL,2022-07-01
CRM,2022-07-01
VMD,2022-07-01
PBPB,2022-07-01
PFHD,2022-07-01
EPHYU,2022-07-01
ELTK,2022-07-01
AESE,2022-07-01
HYZD,2022-07-01
USWS,2022-07-01
VINC,2022-07-01
HEES,2022-07-01
ZI,2022-07-01
