,symbols
0,KMI
1,AVLR
2,VMW
3,PGRE
4,IQM
5,DDM
6,EVTC
7,DEI
8,SMI
9,TSPQ
10,ELF
11,SCM
12,IWLG
13,ALLE
14,CPII
15,BYD
16,TXT
17,DMS
18,MIC
19,STOT
20,SCCF
21,IEDI
22,DVYE
23,PXUS
24,IG
25,WFIG
26,FNGD
27,TTAC
28,DSTX
29,SAN
30,WNC
31,SACC
32,SMIN
33,PFXF
34,MYD
35,DO
36,BEZ
37,OILU
38,LIO
39,QUOT
40,TRND
41,FT
42,USVM
43,GGG
44,WTI
45,BFAM
46,ECF
47,SGG
48,HSCZ
49,STEM
50,UST
51,RDW
52,MSGR
53,OPP
54,REM
55,CORP
56,CYBN
57,GOOG
58,GHC
59,TPSC
60,JIG
61,ICL
62,PKI
63,IDNA
64,CIA
65,NET
66,VNO
67,NCZ
68,CFR
69,UPS
70,HSRT
71,ICVT
72,HYT
73,BF-B
74,XTL
75,AMPE
76,DCO
77,GGN
78,WEIX
79,RMMZ
80,FFIV
81,SMAR
82,HDFCLIFE.NS
83,GATO
84,HYLN
85,BC
86,FLJH
87,SUN
88,FLSA
89,CVX
90,DTG
91,HYEM
92,SSU
93,CNNE
94,VEGI
95,FJUL
96,ARL
97,MUB
98,BSEA
99,DES
100,ESI
101,ESGB
102,MKS
103,AINC
104,CIPLA.NS
105,FVD
106,VGT
107,TGR
108,MZZ
109,SWKS
110,FDRV
111,OMC
112,DD
113,BIPH
114,FDD
115,SEIM
116,HYMU
117,AGT
118,NAIL
119,BERY
120,SRV
121,EUDV
122,FLFR
123,LGV
124,IMO
125,PSTL
126,HSV
127,TECB
128,VCEB
129,FLM
130,KOCT
131,MDC
132,MTG
133,GGRW
134,AIV
135,MHI
136,BA
137,CWH
138,IIM
139,KNOS
140,ETD
141,HDMV
142,GERM
143,SEB
144,TWO
145,CLSA
146,TMFM
147,JPS
148,HPI
149,ORCL
150,MCHP
151,ARE
152,MVO
153,LD
154,NPFD
155,EFAV
156,HTPA
157,AQNA
158,GIA
159,LPX
160,ADP
161,TRGP
162,ESMT
163,DAN
164,PYS
165,CTBB
166,EPWR
167,FXLV
168,NIC
169,BEKE
170,BIV
171,HYLD
172,HII
173,GII
174,RYN
175,TYG
176,IJAN
177,PGRO
178,NSTD
179,VOT
180,M
181,OLO
182,LCR
183,PVL
184,EFA
185,QUS
186,HIPS
187,FTS
188,PSMC
189,MTA
190,PSQ
191,TMFX
192,JPM
193,ARMP
194,GFL
195,ML
196,FGRO
197,QGEN
198,LU
199,FDVV
200,SCD
201,CMU
202,BSTZ
203,SJI
204,MTVR
205,KN
206,SMDY
207,SNV
208,GPAL
209,GOLF
210,ISCF
211,LEN
212,LRN
213,MLR
214,WTTR
215,GOEX
216,DLN
217,PUNK
218,CHWY
219,MTUM
220,GAL
221,NEP
222,PCM
223,TS
224,MYE
225,FPFD
226,MLNK
227,JCE
228,AOMR
229,HTFB
230,DRI
231,PFGC
232,SNPE
233,RETL
234,FIGS
235,USPH
236,CWK
237,CRUZ
238,ETW
239,EDU
240,DBD
241,LCTD
242,KCCA
243,TMP
244,INSP
245,CLOI
246,DWM
247,ENZ
248,CYH
249,GBUY
250,XJH
251,GMET
252,AMJ
253,AFB
254,DFAU
255,BAB
256,IQIN
257,SRT
258,HFG
259,UZF
260,MNBD
261,HRL
262,IWFH
263,GDOC
264,VKQ
265,TPL
