,x,y,area
KO,1,16688,16688
MRK,2,16688,33376
FL,3,16688,50064
CNP,4,16688,66752
BP,5,16688,83440
IBM,6,16688,100128
BA,7,16688,116816
DTE,8,16688,133504
GE,9,16688,150192
XOM,10,16688,166880
DIS,11,16688,183568
PG,12,16688,200256
CAT,13,16688,216944
CVX,14,16688,233632
MSI,15,16688,250320
MMM,16,16688,267008
JNJ,17,16688,283696
XRX,18,16688,300384
HON,19,16688,317072
HPQ,20,16688,333760
ED,21,16688,350448
IP,22,16688,367136
KR,23,16688,383824
GT,24,16688,400512
MRO,25,16688,417200
GD,26,16688,433888
MCD,27,15553,419931
WTAN.L,28,15279,427812
MYI.L,29,15279,443091
THRG.L,30,15279,458370
TMPL.L,31,15279,473649
SCIN.L,32,15279,488928
BUT.L,33,15279,504207
CTY.L,34,15279,519486
EDIN.L,35,15279,534765
BNKR.L,36,15017,540612
TRY.L,37,15017,555629
SMT.L,38,15017,570646
MRCH.L,39,15017,585663
MNP.L,40,15017,600680
BKIXF,41,14920,611720
JCH.L,42,14756,619752
JFJ.L,43,14756,634508
HSL.L,44,14756,649264
ATST.L,45,14756,664020
AJIT.L,46,14756,678776
FGT.L,47,14756,693532
JAM.L,48,14755,708240
JETG.L,49,14755,722995
JMO.NZ,50,14663,733150
JFJ.NZ,51,14663,747813
NAIT.L,52,14056,730912
EWI.L,53,14039,744067
WFC,54,14039,758106
PBI,55,14039,772145
ETN,56,14039,786184
BMY,57,14039,800223
EMR,58,14039,814262
MRC.L,59,14039,828301
HAL,60,14039,842340
LWDB.L,61,14039,856379
UIS,62,14039,870418
SJW,63,14039,884457
PCG,64,14039,898496
F,65,14039,912535
DE,66,14039,926574
ETR,67,14039,940613
PFE,68,14039,954652
PEP,69,14039,968691
TXN,70,14039,982730
WMT,71,13978,992438
HUBB,72,13939,1003608
JMF.L,73,13931,1016963
GHE.L,74,13931,1030894
CGT.L,75,13930,1044750
BRSC.L,76,13914,1057464
NAS.L,77,13887,1069299
SWX,78,13850,1080300
BMI,79,13850,1094150
BRN,80,13850,1108000
KMT,81,13850,1121850
CVS,82,13850,1135700
VLGEA,83,13850,1149550
PNM,84,13850,1163400
NWN,85,13850,1177250
TGT,86,13850,1191100
SXI,87,13850,1204950
LZB,88,13850,1218800
FUL,89,13850,1232650
K,90,13850,1246500
MSB,91,13850,1260350
CPB,92,13850,1274200
OGE,93,13850,1288050
WHR,94,13850,1301900
CMI,95,13850,1315750
MKC,96,13850,1329600
PNW,97,13850,1343450
IHT,98,13850,1357300
IDA,99,13850,1371150
VMC,100,13850,1385000
CLF,101,13850,1398850
SIF,102,13850,1412700
UVV,103,13850,1426550
CNA,104,13850,1440400
CWT,105,13850,1454250
CSL,106,13850,1468100
COKE,107,13850,1481950
ECL,108,13850,1495800
MMC,109,13850,1509650
CMS,110,13850,1523500
CRS,111,13850,1537350
GHC,112,13850,1551200
NBR,113,13850,1565050
NI,114,13850,1578900
XEL,115,13850,1592750
ES,116,13850,1606600
UGI,117,13850,1620450
OLN,118,13850,1634300
HRB,119,13850,1648150
TKR,120,13850,1662000
HE,121,13850,1675850
TER,122,13850,1689700
SCL,123,13850,1703550
EGP,124,13850,1717400
BDL,125,13850,1731250
SNA,126,13850,1745100
NEE,127,13850,1758950
PKI,128,13850,1772800
SGC,129,13850,1786650
MSEX,130,13850,1800500
OTTR,131,13850,1814350
STC,132,13850,1828200
PKOH,133,13850,1842050
VMI,134,13850,1855900
GWW,135,13850,1869750
SCX,136,13850,1883600
MTZ,137,13850,1897450
PW,138,13850,1911300
TXT,139,13850,1925150
WGO,140,13850,1939000
DIOD,141,13850,1952850
MDU,142,13850,1966700
GCO,143,13850,1980550
CLX,144,13850,1994400
MSA,145,13849,2008105
TNC,146,13849,2021954
BKH,147,13849,2035803
SEB,148,13849,2049652
CVR,149,13848,2063352
ITW,150,13836,2075400
COHR,151,13803,2084253
EXC,152,13801,2097752
CL,153,13801,2111553
MDT,154,13801,2125354
GFF,155,13800,2139000
TPC,156,13800,2152800
SKY,157,13800,2166600
PNR,158,13800,2180400
DCO,159,13800,2194200
RGR,160,13800,2208000
GTY,161,13800,2221800
BF-A,162,13800,2235600
WY,163,13800,2249400
BRT,164,13800,2263200
FRT,165,13800,2277000
PHI,166,13800,2290800
WDFC,167,13800,2304600
MATX,168,13800,2318400
CHE,169,13800,2332200
NYT,170,13800,2346000
SVT,171,13800,2359800
USB,172,13800,2373600
PEI,173,13800,2387400
TRN,174,13800,2401200
NFG,175,13800,2415000
BK,176,13800,2428800
EIX,177,13800,2442600
SYY,178,13797,2455866
SYNL,179,13786,2467694
WRB,180,13677,2461860
HCLC,181,13581,2458161
IFF,182,13378,2434796
TAP,183,13252,2425116
OII,184,13152,2419968
TRV,185,13140,2430900
PNC,186,13140,2444040
NWLI,187,13140,2457180
ZGCO,188,13066,2456408
VULC,189,13056,2467584
MAT,190,12989,2467910
BMS,191,12975,2478225
HELE,192,12974,2491008
C,193,12847,2479471
LMT,194,12847,2492318
SVU,195,12815,2498925
EGN,196,12813,2511348
CHCR,197,12770,2515690
NC,198,12730,2520540
WGL,199,12670,2521330
GXP,200,12654,2530800
TRNS,201,12608,2534208
LNCE,202,12602,2545604
FDX,203,12518,2541154
TSRI,204,12508,2551632
HAN.L,205,12495,2561475
SRSK,206,12479,2570674
MAXX,207,12408,2568456
RIII.L,208,12407,2580656
WDC,209,12374,2586166
DHR,210,12331,2589510
SPB,211,12329,2601419
WSCI,212,12263,2599756
CMS-PB,213,12134,2584542
MTR,214,12125,2594750
HFEL.L,215,12125,2606875
HANA.L,216,12082,2609712
UNP,217,12069,2618973
PEG,218,12069,2631042
LXU,219,12069,2643111
R,220,12069,2655180
BIO,221,12029,2658409
MDC,222,12020,2668440
IFP.TO,223,12019,2680237
WABC,224,12015,2691360
CMC,225,12015,2703375
NJR,226,12015,2715390
NDSN,227,12015,2727405
GRC,228,12015,2739420
CW,229,12015,2751435
CBSH,230,12015,2763450
TSN,231,12015,2775465
CAJ,232,12015,2787480
CMA,233,12015,2799495
ESCA,234,12015,2811510
SCI,235,12015,2823525
BH,236,12015,2835540
HST,237,12015,2847555
MTRN,238,12015,2859570
RHI,239,12015,2871585
EBF,240,12015,2883600
HAS,241,12015,2895615
BOH,242,12015,2907630
SXT,243,12015,2919645
COHU,244,12015,2931660
NRT,245,12015,2943675
HSC,246,12015,2955690
LEE,247,12015,2967705
FHN,248,12015,2979720
JOB,249,12015,2991735
UFCS,250,12015,3003750
TMO,251,12015,3015765
NX,252,12015,3027780
FLO,253,12015,3039795
FSCR,254,12015,3051810
WEYS,255,12015,3063825
LGL,256,12015,3075840
SIGI,257,12015,3087855
CHD,258,12015,3099870
RLI,259,12015,3111885
CCK,260,12015,3123900
LANC,261,12015,3135915
GGG,262,12015,3147930
OMC,263,12015,3159945
DLX,264,12015,3171960
NEU,265,12015,3183975
GPS,266,12015,3195990
GIS,267,12015,3208005
MCI,268,12015,3220020
PCH,269,12015,3232035
ORI,270,12015,3244050
TTC,271,12015,3256065
GHM,272,12015,3268080
FRD,273,12015,3280095
FLXS,274,12015,3292110
BSET,275,12015,3304125
NTRS,276,12015,3316140
TRMK,277,12015,3328155
BRID,278,12015,3340170
IPG,279,12015,3352185
GFI,280,12015,3364200
HNI,281,12015,3376215
BF-B,282,12015,3388230
FARM,283,12015,3400245
UBP,284,12015,3412260
BCV,285,12015,3424275
RF,286,12015,3436290
WRE,287,12015,3448305
CPK,288,12015,3460320
DOV,289,12015,3472335
CINF,290,12015,3484350
UMBF,291,12015,3496365
HL,292,12015,3508380
LOW,293,12015,3520395
HES,294,12015,3532410
HSY,295,12015,3544425
L,296,12015,3556440
THC,297,12015,3568455
PH,298,12015,3580470
CMCSA,299,12015,3592485
SWN,300,12015,3604500
LNC,301,12015,3616515
HEI,302,12015,3628530
CAL,303,12015,3640545
JPM,304,12015,3652560
HXL,305,12015,3664575
LPX,306,12015,3676590
