Symbol	Description
14D	1414 Degrees Limited
1AD	Adalta Limited
1AE	Aurora Energy Metals Limited
1AG	Alterra Limited
1MC	Morella Corporation Limited
1ST	1st Available Ltd
1VG	Victory Goldfields Limited
29M	29metals Limited
2BE	Tubi Limited
360	Life360 Inc.
3DA	Amaero International Ltd
3DP	Pointerra Limited
3MF	3d Metalforge Limited
3PL	3p Learning Limited..
4DS	4ds Memory Limited
4DX	4dmedical Limited
5EA	5e Advanced Materials Inc.
5GG	Pentanet Limited
88E	88 Energy Limited
8CO	8common Limited
8IH	8i Holdings Ltd
8VI	8vic Holdings Limited
92E	92 Energy Limited
99L	99 Loyalty Limited.
9SP	9 Spokes International Limited
A1G	African Gold Limited
A1M	Aic Mines Limited
A200	A200
A2B	A2b Australia Limited
A2M	The A2 Milk Company Limited
A2MKOB	The A2 Milk Company Limited
A2MKOF	The A2 Milk Company Limited
A2MKOP	The A2 Milk Company Limited
A2MKOQ	The A2 Milk Company Limited
A2MKOS	The A2 Milk Company Limited
A2MKOV	A2MKOV
A3D	Aurora Labs Limited
A4N	Alpha Hpa Limited
A8G	Australasian Gold Limited
AAA	Betashares Australian High Interest Cash
AAC	Australian Agricultural Company Ltd
AAJ	Aruma Resources Limited
AAP	Australian Agricultural Projects Limited
AAR	Anglo Australian Resources NL
AASF	AASF
AAU	Adcorp Australia Ltd
AAUOB	AAUOB
ABA	Auswide Bank Ltd
ABB	Aussie Broadband Ltd
ABC	Adelaide Brighton Ltd
ABCKOA	Adelaide Brighton Limited
ABCKOB	Adelaide Brighton Limited
ABCKOQ	Adelaide Brighton Limited
ABCKOR	ABCKOR
ABE	Australian Bond Exchange Holdings Limited
ABP	Abacus Property Group
ABV	Advanced Braking Technology Ltd
ABX	Abelle Ltd
ABY	Adore Beauty Group Ltd
AC8	Auscann Group Holdings Ltd
ACB	A-Cap Resources Ltd
ACBO	ACBO
ACDC	Etfs Battery Tech & Lithium
ACF	Acumen Capital Property Securities Fund
ACL	Alchemia Ltd
ACP	Audalia Resources Limited
ACQ	Acorn Capital Investment Fund Limited
ACR	Acrux Ltd
ACS	Accent Resources NL
ACU	Acuvax Limited
ACW	Actinogen Ltd
AD1	Applydirect Limited
AD8	Audinate Group Limited
ADA	Adacel Technologies Ltd
ADD	Adavale Resources Ltd
ADEF	ADEF
ADH	Adairs Limited
ADN	Adelaide Resources Ltd
ADO	
