Symbol	Description
KE	Hard Red Wheat
KE.C	Hard Red Wheat Continuation
KEH22	Hard Red Wheat {Mar 22}
KEH23	Hard Red Wheat {Mar 23}
KEK21	Hard Red Wheat {May 21}
KEK22	Hard Red Wheat {May 22}
KEK23	Hard Red Wheat {May 23}
KEN21	Hard Red Wheat {Jul 21}
KEN22	Hard Red Wheat {Jul 22}
KEN23	Hard Red Wheat {Jul 23}
KEU21	Hard Red Wheat {Sep 21}
KEU22	Hard Red Wheat {Sep 22}
KEZ21	Hard Red Wheat {Dec 21}
KEZ22	Hard Red Wheat {Dec 22}
KW	Hard Red Wheat (Pit)
KW.C	Hard Red Wheat (Pit) Continuation
KWH22	Hard Red Wheat (Pit) {Mar 22}
KWH23	Hard Red Wheat (Pit) {Mar 23}
KWK21	Hard Red Wheat (Pit) {May 21}
KWK22	Hard Red Wheat (Pit) {May 22}
KWK23	Hard Red Wheat (Pit) {May 23}
KWN21	Hard Red Wheat (Pit) {Jul 21}
KWN22	Hard Red Wheat (Pit) {Jul 22}
KWN23	Hard Red Wheat (Pit) {Jul 23}
KWU21	Hard Red Wheat (Pit) {Sep 21}
KWU22	Hard Red Wheat (Pit) {Sep 22}
KWZ21	Hard Red Wheat (Pit) {Dec 21}
KWZ22	Hard Red Wheat (Pit) {Dec 22}
